[Thu Jan 26 12:19:43.035150 2023] [php:error] [pid 24431] [client 127.0.0.1:52082] PHP Fatal error:  Cannot redeclare App\\Http\\Controllers\\Client\\HomeController::ShowPages() in /var/www/html/web_bpkad/app/Http/Controllers/Client/HomeController.php on line 68, referer: http://web.bpkad.test/
[Thu Jan 26 12:19:44.486354 2023] [php:error] [pid 24493] [client 127.0.0.1:52098] PHP Fatal error:  Cannot redeclare App\\Http\\Controllers\\Client\\HomeController::ShowPages() in /var/www/html/web_bpkad/app/Http/Controllers/Client/HomeController.php on line 69, referer: http://web.bpkad.test/
[Thu Jan 26 12:33:35.699995 2023] [autoindex:error] [pid 24413] [client 127.0.0.1:36442] AH01276: Cannot serve directory /var/www/html/web_bpkad/public/admin/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive
[Thu Jan 26 15:25:21.275202 2023] [autoindex:error] [pid 24023] [client 127.0.0.1:39028] AH01276: Cannot serve directory /var/www/html/web_bpkad/public/login/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive
[Thu Jan 26 15:27:28.414188 2023] [autoindex:error] [pid 24024] [client 127.0.0.1:52930] AH01276: Cannot serve directory /var/www/html/web_bpkad/public/login/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive, referer: http://web.bpkad.test/login/
[Thu Jan 26 15:27:36.638126 2023] [autoindex:error] [pid 24022] [client 127.0.0.1:52938] AH01276: Cannot serve directory /var/www/html/web_bpkad/public/login/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive
[Thu Jan 26 15:27:51.509262 2023] [autoindex:error] [pid 24413] [client 127.0.0.1:35734] AH01276: Cannot serve directory /var/www/html/web_bpkad/public/login/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive
[Thu Mar 09 16:12:45.755829 2023] [php:error] [pid 135384] [client 127.0.0.1:49004] PHP Parse error:  syntax error, unexpected identifier "publi", expecting "function" or "const" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 172, referer: http://web.bpkad.test/admin/permohonan
[Thu Mar 09 16:24:29.579295 2023] [php:error] [pid 94954] [client 127.0.0.1:54034] PHP Parse error:  syntax error, unexpected token "(", expecting identifier or variable or "{" or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 176, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:25:03.997064 2023] [php:error] [pid 135384] [client 127.0.0.1:60076] PHP Parse error:  syntax error, unexpected token "->", expecting identifier or variable or "{" or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 181, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:31:40.561211 2023] [php:error] [pid 79567] [client 127.0.0.1:51232] PHP Parse error:  syntax error, unexpected token "static", expecting "(" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 142, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:34:42.691127 2023] [php:error] [pid 79570] [client 127.0.0.1:46566] PHP Parse error:  syntax error, unexpected token ".", expecting ";" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 145, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:36:06.311880 2023] [php:error] [pid 135384] [client 127.0.0.1:36882] PHP Parse error:  syntax error, unexpected token "}" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 147, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:37:11.797140 2023] [php:error] [pid 79569] [client 127.0.0.1:59672] PHP Parse error:  syntax error, unexpected token "}" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 149, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:38:19.944569 2023] [php:error] [pid 89457] [client 127.0.0.1:34406] PHP Parse error:  syntax error, unexpected token ")", expecting variable or "{" or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 151, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:39:57.340725 2023] [php:error] [pid 79570] [client 127.0.0.1:58154] PHP Parse error:  syntax error, unexpected token ")", expecting identifier or variable or "{" or "$" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 153, referer: http://web.bpkad.test/admin/laporan
[Thu Mar 09 16:42:58.902065 2023] [php:error] [pid 79569] [client 127.0.0.1:34814] PHP Parse error:  syntax error, unexpected token "return" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 150, referer: http://web.bpkad.test/admin/laporan
[Tue Mar 14 10:28:46.446315 2023] [php:error] [pid 29915] [client 127.0.0.1:51180] PHP Fatal error:  Cannot redeclare App\\Providers\\RouteServiceProvider::mapFaqAdmin() in /var/www/html/bpkad/app/Providers/RouteServiceProvider.php on line 104, referer: http://web.bpkad.test/admin/galery
[Tue Mar 14 10:28:46.446311 2023] [php:error] [pid 29943] [client 127.0.0.1:51188] PHP Fatal error:  Cannot redeclare App\\Providers\\RouteServiceProvider::mapFaqAdmin() in /var/www/html/bpkad/app/Providers/RouteServiceProvider.php on line 104, referer: http://web.bpkad.test/
[Wed Mar 15 11:42:30.455138 2023] [php:error] [pid 41662] [client 127.0.0.1:57110] PHP Parse error:  syntax error, unexpected token ";", expecting ")" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 78, referer: http://web.bpkad.test/
[Wed Mar 15 11:42:30.458299 2023] [php:error] [pid 1539] [client 127.0.0.1:57126] PHP Parse error:  syntax error, unexpected token ";", expecting ")" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 78, referer: http://web.bpkad.test/admin/tools-address
[Wed Mar 15 11:43:11.683986 2023] [php:error] [pid 1539] [client 127.0.0.1:57288] PHP Parse error:  Unclosed '{' on line 77 does not match ')' in /var/www/html/bpkad/app/Helpers/Helpers.php on line 78, referer: http://web.bpkad.test/admin/tools-address
[Wed Mar 15 11:43:11.684102 2023] [php:error] [pid 16672] [client 127.0.0.1:57304] PHP Parse error:  Unclosed '{' on line 77 does not match ')' in /var/www/html/bpkad/app/Helpers/Helpers.php on line 78, referer: http://web.bpkad.test/
[Wed Mar 15 12:00:45.376901 2023] [php:error] [pid 6996] [client 127.0.0.1:33582] PHP Parse error:  syntax error, unexpected token "static", expecting "(" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 80, referer: http://web.bpkad.test/admin/tools-address
[Wed Mar 15 12:00:45.376901 2023] [php:error] [pid 1541] [client 127.0.0.1:33578] PHP Parse error:  syntax error, unexpected token "static", expecting "(" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 80, referer: http://web.bpkad.test/
[Mon Mar 20 16:21:16.542814 2023] [php:error] [pid 6693] [client 127.0.0.1:34098] PHP Fatal error:  Cannot redeclare App\\Providers\\RouteServiceProvider::mapToolsAdmin() in /var/www/html/bpkad/app/Providers/RouteServiceProvider.php on line 112, referer: http://web.bpkad.test/admin/post
[Sat Mar 25 14:31:50.568737 2023] [php:error] [pid 7482] [client 127.0.0.1:49640] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:50.763200 2023] [php:error] [pid 1501] [client 127.0.0.1:49648] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:51.144542 2023] [php:error] [pid 1505] [client 127.0.0.1:49656] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:51.296450 2023] [php:error] [pid 6847] [client 127.0.0.1:49668] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:51.564415 2023] [php:error] [pid 1504] [client 127.0.0.1:49674] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:51.594316 2023] [php:error] [pid 1503] [client 127.0.0.1:49688] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:51.736881 2023] [php:error] [pid 1502] [client 127.0.0.1:49696] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:52.102299 2023] [php:error] [pid 7483] [client 127.0.0.1:49718] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:52.271312 2023] [php:error] [pid 7482] [client 127.0.0.1:49728] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:52.711378 2023] [php:error] [pid 1501] [client 127.0.0.1:49744] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:52.950419 2023] [php:error] [pid 1505] [client 127.0.0.1:49758] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:53.316414 2023] [php:error] [pid 6847] [client 127.0.0.1:49760] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Sat Mar 25 14:31:53.445426 2023] [php:error] [pid 1504] [client 127.0.0.1:49766] PHP Fatal error:  Cannot use [] for reading in /var/www/html/bpkad/storage/framework/views/1f8189d70856796791c468919674f39e577f8f6c.php on line 26, referer: http://web.bpkad.test/
[Mon Mar 27 08:49:34.597978 2023] [php:error] [pid 2571] [client 127.0.0.1:48116] PHP Parse error:  syntax error, unexpected variable "$param2" in /var/www/html/bpkad/app/Helpers/Helpers.php on line 138, referer: http://web.bpkad.test/admin
